SentenceID,tokenID,Word,Predicted,Gold Truth
6,49,at,O,O
6,50,past,O,O
7,1,He,O,O
7,2,said,O,O
7,3,the,O,O
7,4,failure,O,O
7,5,of,O,O
7,6,the,O,O
7,7,talks,O,O
7,8,between,O,O
7,9,the,O,O
7,10,Phnom,B-Loc,B-Org
7,11,Penh,I-Loc,I-Org
7,12,government,O,I-Org
7,13,and,O,O
7,14,the,O,O
7,15,Khmer,B-Org,B-Org
7,16,Rouge,I-Org,I-Org
7,17,faction,O,O
7,18,in,O,O
7,19,Pyongyang,B-Loc,B-Loc
7,20,recently,O,O
7,21,was,O,O
7,22,due,O,O
7,23,to,O,O
7,24,the,O,O
7,25,fact,O,O
7,26,that,O,O
7,27,the,O,O
7,28,Khmer,B-Peop,B-Org
7,29,Rouge,I-Loc,I-Org
7,30,put,O,O
7,31,forward,O,O
7,32,proposals,O,O
7,33,that,O,O
7,34,did,O,O
7,35,not,O,O
7,36,totally,O,O
7,37,lend,O,O
7,38,support,O,O
7,39,to,O,O
7,40,the,O,O
7,41,integrity,O,O
7,42,of,O,O
7,43,Cambodia,B-Loc,B-Loc
7,44,.,O,O
8,1,Meanwhile,B-Peop,O
8,2,",",O,O
8,3,on,O,O
8,4,a,O,O
8,5,separate,O,O
8,6,occasion,O,O
8,7,",",O,O
8,8,Prince,B-Peop,B-Peop
8,9,Ranariddh,I-Peop,I-Peop
8,10,",",O,O
8,11,first,O,O
8,12,prime,O,O
8,13,of,O,O
8,14,Cambodia,B-Loc,B-Loc
8,15,",",O,O
8,16,reiterated,O,O
8,17,the,O,O
8,18,Phnom,B-Loc,B-Org
8,19,Penh,I-Org,I-Org
8,20,government,O,I-Org
8,21,'s,O,O
8,22,wish,O,O
8,23,to,O,O
8,24,open,O,O
8,25,a,O,O
8,26,Cambodian,B-Org,O
8,27,Embassy,I-Org,O
8,28,in,O,O
8,29,Jakarta,B-Loc,B-Loc
8,30,as,O,O
8,31,soon,O,O
8,32,as,O,O
8,33,possible,O,O
8,34,.,O,O
9,1,He,O,O
9,2,said,O,O
9,3,that,O,O
9,4,the,O,O
9,5,Phnom,B-Loc,B-Org
9,6,Penh,I-Org,I-Org
9,7,government,O,I-Org
9,8,has,O,O
9,9,worked,O,O
9,10,out,O,O
9,11,several,O,O
9,12,incentives,O,O
9,13,to,O,O
9,14,attract,O,O
9,15,foreign,O,O
9,16,investment,O,O
9,17,in,O,O
9,18,Cambodia,B-Loc,B-Loc
9,19,.,O,O
10,1,In,O,O
10,2,sentencing,O,O
10,3,Johnny,B-Peop,B-Peop
10,4,Campbell,I-Peop,I-Peop
10,5,and,O,O
10,6,Alicia,B-Loc,B-Peop
10,7,Abraham,I-Org,I-Peop
10,8,",",O,O
10,9,Circuit,O,B-Peop
10,10,Judge,B-Peop,I-Peop
10,11,Michael,I-Peop,I-Peop
10,12,B.,I-Peop,I-Peop
10,13,Getty,I-Peop,I-Peop
10,14,said,O,O
10,15,if,O,O
10,16,he,O,O
10,17,had,O,O
10,18,let,O,O
10,19,emotions,O,O
10,20,dictate,O,O
10,21,his,O,O
10,22,actions,O,O
10,23,",",O,O
10,24,the,O,O
10,25,two,O,O
10,26,would,O,O
10,27,have,O,O
10,28,received,O,O
10,29,the,O,O
10,30,death,O,O
10,31,penalty,O,O
10,32,for,O,O
10,33,`,O,O
10,34,`,O,O
10,35,the,O,O
10,36,vicious,O,O
10,37,",",O,O
10,38,brutally,O,O
10,39,sadistic,O,O
10,40,torture,O,O
10,41,and,O,O
10,42,murder,O,O
10,43,of,O,O
10,44,Lattie,B-Peop,B-Peop
10,45,McGee.,I-Peop,I-Peop
10,46,',O,O
10,47,',O,O
11,1,Robert,B-Peop,B-Peop
11,2,Bernero,I-Peop,I-Peop
11,3,",",O,O
11,4,chief,O,O
11,5,of,O,O
11,6,waste,O,O
11,7,disposal,O,O
11,8,for,O,O
11,9,the,O,O
11,10,NRC,B-Org,B-Org
11,11,",",O,O
11,12,said,O,O
11,13,the,O,O
11,14,shafts,O,O
11,15,would,O,O
11,16,be,O,O
11,17,`,O,O
11,18,`,O,O
11,19,the,O,O
11,20,first,O,O
11,21,major,O,O
11,22,holes,O,O
11,23,to,O,O
11,24,be,O,O
11,25,dug,O,O
11,26,into,O,O
11,27,the,O,O
11,28,Yucca,B-Loc,B-Loc
11,29,Mountain,I-Org,I-Loc
11,30,formation.,O,O
11,31,',O,O
11,32,',O,O
12,1,Congress,O,B-Org
12,2,has,O,O
12,3,ordered,O,O
12,4,the,O,O
12,5,department,O,O
12,6,to,O,O
12,7,study,O,O
12,8,whether,O,O
12,9,the,O,O
12,10,Yucca,B-Loc,B-Loc
12,11,Mountain,I-Loc,I-Loc
12,12,location,O,O
12,13,",",O,O
12,14,about,O,O
12,15,100,B-Other,B-Other
12,16,miles,I-Other,I-Other
12,17,northwest,O,O
12,18,of,O,O
12,19,Las,B-Loc,B-Loc
12,20,Vegas,I-Loc,I-Loc
12,21,",",O,O
12,22,Nev.,B-Loc,B-Loc
12,23,",",O,O
12,24,could,O,O
12,25,safely,O,O
12,26,store,O,O
12,27,tons,O,O
12,28,of,O,O
12,29,radioactive,O,O
12,30,nuclear,O,O
12,31,waste,O,O
12,32,for,O,O
12,33,10,O,O
12,34,",",O,O
12,35,000,O,O
12,36,years,O,O
12,37,.,O,O
13,1,In,O,O
13,2,a,O,O
13,3,briefing,O,O
13,4,at,O,O
13,5,the,O,O
13,6,NRC,B-Org,B-Org
13,7,'s,O,O
13,8,Rockville,B-Loc,B-Loc
13,9,",",O,O
13,10,Md.,B-Loc,B-Loc
13,11,",",O,O
13,12,headquarters,O,O
13,13,and,O,O
13,14,in,O,O
13,15,a,O,O
13,16,letter,O,O
13,17,to,O,O
13,18,Sam,B-Peop,B-Peop
13,19,Rousso,I-Peop,I-Peop
13,20,",",O,O
13,21,acting,O,O
13,22,of,O,O
13,23,civilian,O,O
13,24,radioactive,O,O
13,25,waste,O,O
13,26,management,O,O
13,27,for,O,O
13,28,the,O,O
13,29,Energy,B-Org,B-Org
13,30,Department,I-Org,I-Org
13,31,",",O,O
13,32,Bernero,B-Peop,B-Peop
13,33,said,O,O
13,34,study,O,O
13,35,of,O,O
13,36,seismic,O,O
13,37,and,O,O
13,38,volcanic,O,O
13,39,risks,O,O
13,40,needed,O,O
13,41,to,O,O
13,42,be,O,O
13,43,given,O,O
13,44,high,O,O
13,45,priority,O,O
13,46,.,O,O
14,1,Officials,O,O
14,2,in,O,O
14,3,Perugia,B-Loc,B-Loc
14,4,in,O,O
14,5,Umbria,B-Loc,B-Loc
14,6,province,O,O
14,7,said,O,O
14,8,five,O,O
14,9,people,O,O
14,10,were,O,O
14,11,arrested,O,O
14,12,there,O,O
14,13,Tuesday,O,O
14,14,night,O,O
14,15,after,O,O
14,16,police,O,O
14,17,stopped,O,O
14,18,their,O,O
14,19,car,O,O
14,20,and,O,O
14,21,found,O,O
14,22,$1,B-Other,B-Other
14,23,million,I-Other,I-Other
14,24,in,O,O
14,25,bogus,O,O
14,26,bills,O,O
14,27,in,O,O
14,28,the,O,O
14,29,trunk,O,O
14,30,.,O,O
15,1,The,O,O
15,2,ANSA,B-Org,B-Org
15,3,news,O,O
15,4,agency,O,O
15,5,said,O,O
15,6,the,O,O
15,7,operation,O,O
15,8,involved,O,O
15,9,police,O,O
15,10,in,O,O
15,11,Umbria,B-Loc,B-Loc
15,12,and,O,O
15,13,Lazio,B-Loc,B-Loc
15,14,provinces,O,O
15,15,in,O,O
15,16,central,O,O
15,17,Italy,B-Loc,B-Loc
15,18,and,O,O
15,19,Campania,B-Loc,B-Loc
15,20,province,O,O
15,21,in,O,O
15,22,the,O,O
15,23,south,O,O
15,24,",",O,O
15,25,without,O,O
15,26,specifying,O,O
15,27,exact,O,O
15,28,arrest,O,O
15,29,locations,O,O
15,30,.,O,O
16,1,Rome,B-Peop,B-Loc
16,2,is,O,O
16,3,in,O,O
16,4,Lazio,B-Loc,B-Loc
16,5,province,O,O
16,6,and,O,O
16,7,Naples,B-Loc,B-Loc
16,8,in,O,O
16,9,Campania,B-Loc,B-Loc
16,10,.,O,O
17,1,The,O,O
17,2,Foreign,O,B-Org
17,3,Ministry,I-Org,I-Org
17,4,'s,O,O
17,5,Southeast,B-Org,B-Org
17,6,Asian,I-Org,I-Org
17,7,Department,I-Org,I-Org
17,8,Chief,I-Org,O
17,9,Don,I-Org,B-Peop
17,10,Paramatwinai,I-Org,I-Peop
17,11,quoted,O,O
17,12,President,B-Peop,O
17,13,Kim,I-Peop,B-Peop
17,14,as,O,O
17,15,saying,O,O
17,16,that,O,O
17,17,the,O,O
17,18,nuclear,O,O
17,19,conflict,O,O
17,20,between,O,O
17,21,South,B-Loc,B-Loc
17,22,and,O,O
17,23,North,B-Loc,B-Loc
17,24,Korea,I-Loc,I-Loc
17,25,posed,O,O
17,26,not,O,O
17,27,only,O,O
17,28,a,O,O
17,29,threat,O,O
17,30,to,O,O
17,31,the,O,O
17,32,Korean,B-Loc,B-Loc
17,33,Peninsula,I-Loc,I-Loc
17,34,but,O,O
17,35,the,O,O
17,36,entire,O,O
17,37,world,O,O
17,38,.,O,O
18,1,The,O,O
18,2,law,O,O
18,3,",",O,O
18,4,patterned,O,O
18,5,after,O,O
18,6,similar,O,O
18,7,measures,O,O
18,8,in,O,O
18,9,Michigan,B-Loc,B-Loc
18,10,and,O,I-Org
18,11,California,B-Loc,B-Loc
18,12,",",O,O
18,13,gives,O,O
18,14,victims,O,O
18,15,`,O,O
18,16,`,O,O
18,17,a,O,O
18,18,maximum,O,O
18,19,opportunity,O,O
18,20,to,O,O
18,21,participate,O,O
18,22,",",O,O
18,23,',O,O
18,24,',O,O
18,25,said,O,O
18,26,Fran,B-Peop,B-Peop
18,27,Sepler,I-Peop,I-Peop
18,28,",",O,O
18,29,executive,O,O
18,30,of,O,O
18,31,the,O,O
18,32,state,O,B-Org
18,33,Crime,B-Org,I-Org
18,34,Victim,I-Org,I-Org
18,35,and,O,I-Org
18,36,Witness,I-Org,I-Org
18,37,Advisory,I-Org,I-Org
18,38,Council,I-Org,I-Org
18,39,.,O,O
19,1,Use,O,O
19,2,of,O,O
19,3,the,O,O
19,4,right,O,O
19,5,ranged,O,O
19,6,from,O,O
19,7,an,O,O
19,8,estimate,O,O
19,9,of,O,O
19,10,40,B-Other,B-Other
19,11,percent,I-Other,I-Other
19,12,to,O,O
19,13,60,B-Other,B-Other
19,14,percent,I-Other,I-Other
19,15,in,O,O
19,16,St.,B-Loc,B-Loc
19,17,Louis,I-Loc,I-Loc
19,18,County,I-Loc,I-Loc
19,19,in,O,O
19,20,northeastern,O,O
19,21,Minnesota,B-Loc,B-Loc
19,22,to,O,O
19,23,only,O,O
19,24,seven,O,O
19,25,or,O,O
19,26,eight,O,O
19,27,times,O,O
19,28,in,O,O
19,29,Hennepin,B-Loc,B-Loc
19,30,County,I-Loc,I-Loc
19,31,",",O,O
19,32,which,O,O
19,33,has,O,O
19,34,nearly,O,O
19,35,1,B-Other,B-Other
19,36,million,I-Other,I-Other
19,37,residents,O,O
19,38,and,O,O
19,39,almost,O,O
19,40,one-fourth,O,O
19,41,of,O,O
19,42,the,O,O
19,43,state,O,O
19,44,'s,O,O
19,45,population,O,O
19,46,.,O,O
20,1,While,O,O
20,2,guiding,O,O
20,3,farmers,O,O
20,4,to,O,O
20,5,work,O,O
20,6,outside,O,O
20,7,Anhui,B-Loc,B-Loc
20,8,in,O,O
20,9,a,O,O
20,10,planned,O,O
20,11,way,O,O
20,12,",",O,O
20,13,this,O,O
20,14,east,O,O
20,15,China,B-Loc,B-Loc
20,16,province,O,O
20,17,has,O,O
20,18,set,O,O
20,19,up,O,O
20,20,more,O,O
20,21,than,O,O
20,22,3,O,O
20,23,",",I-Other,O
20,24,000,O,O
20,25,small,O,O
20,26,towns,O,O
20,27,specially,O,O
20,28,for,O,O
20,29,farmers,O,O
20,30,.,O,O
21,1,There,O,O
21,2,was,O,O
21,3,no,O,O
21,4,mention,O,O
21,5,at,O,O
21,6,all,O,O
21,7,of,O,O
21,8,the,O,O
21,9,Contras,B-Loc,O
21,10,",",O,O
21,11,the,O,O
21,12,arms,O,O
21,13,sales,O,O
21,14,to,O,O
21,15,Iran,O,B-Loc
21,16,or,O,O
21,17,the,O,O
21,18,enormous,O,O
21,19,trade,O,O
21,20,deficits,O,O
21,21,that,O,O
21,22,during,O,O
21,23,Reagan,B-Loc,B-Peop
21,24,'s,O,O
21,25,tenure,O,O
21,26,have,O,O
21,27,turned,O,O
21,28,America,B-Loc,B-Loc
21,29,into,O,O
21,30,the,O,O
21,31,world,O,O
21,32,'s,O,O
21,33,biggest,O,O
21,34,debtor,O,O
21,35,nation,O,O
21,36,.,O,O
22,1,LD0806223294,O,O
22,2,Sarajevo,B-Loc,B-Loc
22,3,Radio,B-Org,B-Org
22,4,Bosnia-Herzegovina,I-Org,I-Org
22,5,Network,I-Org,I-Org
22,6,in,O,O
22,7,Serbo-Croatian,O,O
22,8,2000,B-Other,B-Other
22,9,GMT,I-Other,I-Other
22,10,8,B-Other,B-Other
22,11,Jun,I-Other,I-Other
22,12,94,I-Other,I-Other
23,1,Sarajevo,B-Loc,B-Loc
23,2,Radio,B-Org,B-Org
23,3,Bosnia-Herzegovina,I-Org,I-Org
23,4,Network,I-Org,I-Org
24,1,(,O,O
24,2,Text,O,O
24,3,),O,O
24,4,Following,O,O
24,5,the,O,O
24,6,conclusion,O,O
24,7,of,O,I-Loc
24,8,the,O,O
24,9,Geneva,B-Loc,B-Loc
24,10,negotiations,O,O
24,11,today,O,O
24,12,",",O,O
24,13,Ejup,B-Peop,B-Peop
24,14,Ganic,I-Peop,O
24,15,",",O,O
24,16,head,O,O
24,17,of,O,I-Loc
24,18,the,O,O
24,19,Bosnia-Herzegovina,B-Org,B-Org
24,20,delegation,O,O
24,21,and,O,I-Org
24,22,vice,O,O
24,23,of,O,I-Loc
24,24,the,O,O
24,25,Federation,B-Org,B-Loc
24,26,of,I-Org,I-Loc
24,27,Bosnia-Herzegovina,I-Org,B-Org
24,28,",",O,O
24,29,made,O,O
24,30,the,O,O
24,31,following,O,O
24,32,statement,O,O
24,33,for,O,O
24,34,Bosnia-Herzegovina,B-Loc,B-Org
24,35,Radio,I-Org,I-Org
24,36,and,O,I-Org
24,37,TV,B-Org,I-Org
24,38,:,O,O
24,39,(,O,O
24,40,Begin,B-Peop,O
24,41,Ganic,I-Org,O
24,42,recording,O,O
24,43,),O,O
24,44,The,O,O
24,45,delegation,O,O
24,46,acted,O,O
24,47,in,O,O
24,48,accordance,O,O
24,49,with,O,O
24,50,the,O,O
25,1,AU2206082794,O,O
25,2,Prague,B-Loc,B-Loc
25,3,CTK,B-Org,B-Org
25,4,in,O,O
25,5,English,O,O
25,6,0604,B-Other,B-Other
25,7,GMT,I-Other,I-Other
25,8,22,B-Other,B-Other
25,9,Jun,I-Other,I-Other
25,10,94,I-Other,I-Other
25,11,--,O,O
25,12,FOR,O,O
25,13,OFFICIAL,O,O
25,14,USE,I-Org,O
25,15,ONLY,I-Org,O
26,1,(,O,O
26,2,Text,O,O
26,3,),O,O
26,4,Bratislava,B-Loc,B-Loc
26,5,June,B-Other,B-Other
26,6,22,O,I-Other
26,7,(,O,O
26,8,CTK,B-Org,O
26,9,),O,O
26,10,--,O,O
26,11,Slovakia,O,B-Loc
26,12,plans,O,O
26,13,its,O,O
26,14,1995,B-Other,O
26,15,budget,O,O
26,16,to,O,O
26,17,have,O,O
26,18,a,O,O
26,19,deficit,O,O
26,20,of,O,O
26,21,12,B-Other,B-Other
26,22,billion,I-Other,I-Other
26,23,Slovak,I-Other,I-Other
26,24,crowns,O,I-Other
26,25,",",O,O
26,26,making,O,O
26,27,up,O,O
26,28,three,O,B-Other
26,29,percent,O,I-Other
26,30,of,O,O
26,31,GDP,B-Org,O
26,32,",",O,O
26,33,Finance,B-Peop,O
26,34,Rudolf,I-Peop,B-Peop
26,35,Filkus,I-Peop,I-Peop
26,36,said,O,O
26,37,after,O,O
26,38,a,O,O
26,39,cabinet,O,O
26,40,session,O,O
26,41,last,O,O
26,42,night,O,O
26,43,.,O,O
27,1,W.,O,B-Peop
27,2,Dale,B-Peop,I-Peop
27,3,Nelson,I-Peop,I-Peop
27,4,covers,O,O
27,5,the,O,O
27,6,White,B-Org,B-Loc
27,7,House,I-Org,I-Loc
27,8,for,O,O
27,9,The,I-Org,B-Org
27,10,Associated,I-Org,I-Org
27,11,Press,I-Org,I-Org
27,12,.,O,O
28,1,In,O,O
28,2,an,O,O
28,3,interview,O,O
28,4,published,O,O
28,5,by,O,O
28,6,yesterday,O,O
28,7,'s,O,O
28,8,issue,O,O
28,9,of,O,O
28,10,the,O,O
28,11,economic,O,O
28,12,daily,O,O
28,13,HOSPODARSKE,B-Org,O
28,14,NOVINY,I-Org,O
28,15,",",O,O
28,16,Premier,O,O
28,17,Jozef,I-Peop,B-Peop
28,18,Moravcik,I-Peop,I-Peop
28,19,said,O,O
28,20,Slovakia,B-Peop,B-Loc
28,21,'s,O,O
28,22,goal,O,O
28,23,for,O,O
28,24,this,O,O
28,25,year,O,O
28,26,was,O,O
28,27,to,O,O
28,28,completely,O,O
28,29,halt,O,O
28,30,the,O,O
28,31,fall,O,O
28,32,of,O,O
28,33,GDP,B-Loc,O
28,34,",",O,O
28,35,reduce,O,O
28,36,the,O,O
28,37,inflation,O,O
28,38,rate,O,O
28,39,to,O,O
28,40,13,B-Other,B-Other
28,41,percent,I-Other,I-Other
28,42,(,O,O
28,43,from,O,O
28,44,last,O,O
28,45,year,O,O
28,46,'s,O,O
28,47,23.1,B-Other,B-Other
28,48,percent,I-Other,I-Other
28,49,),O,O
28,50,and,O,O
29,1,A,O,O
29,2,Texas,O,B-Loc
29,3,professor,O,O
29,4,who,O,O
29,5,helped,O,O
29,6,mount,O,O
29,7,President,B-Peop,O
29,8,Nixon,I-Peop,B-Peop
29,9,'s,O,O
29,10,unsuccessful,O,O
29,11,attempt,O,O
29,12,to,O,O
29,13,resist,O,O
29,14,a,O,O
29,15,key,O,O
29,16,Watergate,O,B-Other
29,17,subpoena,O,O
29,18,is,O,O
29,19,being,O,O
29,20,considered,O,O
29,21,for,O,O
29,22,the,O,O
29,23,post,O,O
29,24,of,O,O
29,25,U.S.,B-Loc,B-Loc
29,26,solicitor,O,O
29,27,.,O,O
30,1,PA1106232494,O,O
30,2,Mexico,B-Loc,B-Loc
30,3,City,I-Loc,I-Loc
30,4,LA,B-Org,B-Org
30,5,JORNADA,I-Org,I-Org
30,6,in,O,O
30,7,Spanish,O,O
30,8,10,B-Other,B-Other
30,9,Jun,I-Other,I-Other
30,10,94,I-Other,I-Other
30,11,p,O,O
30,12,11,O,O
31,1,Also,O,O
31,2,being,O,O
31,3,considered,O,O
31,4,are,O,O
31,5,Judge,B-Peop,O
31,6,Ralph,I-Peop,B-Peop
31,7,K.,I-Peop,I-Peop
31,8,Winter,I-Peop,I-Peop
31,9,of,O,O
31,10,the,O,O
31,11,2nd,O,B-Org
31,12,U.S.,B-Org,B-Org
31,13,Circuit,I-Org,I-Org
31,14,Court,I-Org,I-Org
31,15,of,I-Org,O
31,16,Appeals,I-Org,I-Org
31,17,in,O,O
31,18,New,B-Loc,B-Loc
31,19,York,I-Loc,I-Loc
31,20,City,I-Org,I-Loc
31,21,and,O,O
31,22,Judge,B-Peop,O
31,23,Kenneth,I-Peop,B-Peop
31,24,Starr,I-Peop,I-Peop
31,25,of,O,O
31,26,the,O,O
31,27,U.S.,B-Org,B-Org
31,28,Circuit,I-Org,I-Org
31,29,Court,I-Org,I-Org
31,30,of,I-Org,O
31,31,Appeals,I-Org,I-Org
31,32,for,O,O
31,33,the,O,O
31,34,District,B-Org,B-Loc
31,35,of,I-Org,O
31,36,Columbia,I-Org,I-Loc
31,37,",",O,O
31,38,said,O,O
31,39,the,O,O
31,40,source,O,O
31,41,",",O,O
31,42,who,O,O
31,43,spoke,O,O
31,44,on,O,O
31,45,condition,O,O
31,46,of,O,O
31,47,anonymity,O,O
31,48,.,O,O
32,1,Rep.,B-Loc,O
32,2,Tim,I-Loc,B-Peop
32,3,Valentine,I-Peop,I-Peop
32,4,",",O,O
32,5,D-N.C.,B-Loc,O
32,6,",",O,O
32,7,however,O,O
32,8,",",O,O
32,9,said,O,O
32,10,he,O,O
32,11,cannot,O,O
32,12,understand,O,O
32,13,why,O,O
32,14,illegal,O,O
32,15,aliens,O,O
32,16,should,O,O
32,17,be,O,O
32,18,allowed,O,O
32,19,to,O,O
32,20,dilute,O,O
32,21,the,O,O
32,22,representation,O,O
32,23,of,O,O
32,24,U.S.,B-Loc,B-Loc
32,25,citizens,O,O
32,26,.,O,O
33,1,The,O,O
33,2,poll,O,O
33,3,conducted,O,O
33,4,by,O,O
33,5,the,O,O
33,6,private,O,O
33,7,Endemerc-Louis,B-Org,B-Org
33,8,Harris,I-Org,I-Org
33,9,Firm,I-Peop,I-Org
33,10,on,O,O
33,11,24-31,B-Other,B-Other
33,12,May,I-Other,I-Other
33,13,among,O,O
33,14,600,O,O
33,15,people,O,O
33,16,in,O,O
33,17,the,O,O
33,18,valley,O,O
33,19,of,O,O
33,20,Mexico,B-Loc,B-Loc
33,21,shows,O,O
33,22,that,O,O
33,23,PAN,B-Org,B-Org
33,24,(,O,O
33,25,National,B-Org,B-Org
33,26,Action,I-Org,I-Org
33,27,Party,I-Org,I-Org
33,28,),O,O
33,29,candidate,O,O
33,30,Fernandez,B-Peop,B-Peop
33,31,de,I-Peop,I-Peop
33,32,Cevallos,I-Peop,I-Peop
33,33,increased,O,O
33,34,his,O,O
33,35,popularity,O,O
33,36,rating,O,O
33,37,to,O,O
33,38,42,B-Other,B-Other
33,39,percent,I-Other,I-Other
33,40,after,O,O
33,41,the,O,O
33,42,presidential,O,O
33,43,debate,O,O
33,44,.,O,O
34,1,The,O,O
34,2,PRI,B-Org,B-Org
34,3,candidate,O,O
34,4,placed,O,O
34,5,second,O,O
34,6,with,O,O
34,7,37,B-Other,B-Other
34,8,percent,I-Other,I-Other
34,9,followed,O,O
34,10,by,O,O
34,11,Cardenas,B-Peop,B-Peop
34,12,",",O,O
34,13,candidate,O,O
34,14,of,O,I-Org
34,15,the,O,I-Org
34,16,PRD,B-Org,B-Org
34,17,(,O,O
34,18,Party,O,B-Org
34,19,of,O,I-Org
34,20,the,O,I-Org
34,21,Democratic,B-Org,I-Org
34,22,Revolution,I-Org,I-Org
34,23,),O,O
34,24,",",O,O
34,25,with,O,O
34,26,9,B-Other,B-Other
34,27,percent,I-Other,I-Other
34,28,.,O,O
35,1,Winter,B-Peop,B-Peop
35,2,",",O,O
35,3,53,O,O
35,4,",",O,O
35,5,a,O,O
35,6,former,O,O
35,7,Yale,B-Org,B-Org
35,8,University,I-Org,I-Org
35,9,law,O,O
35,10,professor,O,O
35,11,who,O,O
35,12,took,O,O
35,13,the,O,O
35,14,bench,O,O
35,15,in,O,O
35,16,1982,B-Other,B-Other
35,17,",",O,O
35,18,and,O,O
35,19,Starr,B-Peop,B-Peop
35,20,",",O,O
35,21,a,O,O
35,22,fellow,O,O
35,23,appointee,O,O
35,24,of,O,O
35,25,President,B-Peop,O
35,26,Reagan,I-Loc,B-Peop
35,27,",",O,O
35,28,are,O,O
35,29,both,O,O
35,30,known,O,O
35,31,as,O,O
35,32,judicial,O,O
35,33,conservatives,O,O
35,34,.,O,O
36,1,Starr,B-Peop,B-Peop
36,2,",",O,O
36,3,who,O,O
